id_leito,tipo_leito,status,unidade
1,UTI,Disponível,Ortopedia
2,Apartamento,Ocupado,Ortopedia
3,UTI,Disponível,Cirurgia
4,Apartamento,Disponível,Ortopedia
5,UTI,Ocupado,UTI
6,Apartamento,Ocupado,Pediatria
7,UTI,Disponível,Cirurgia
8,UTI,Ocupado,Clínica Médica
9,Apartamento,Ocupado,Cirurgia
10,Enfermaria,Ocupado,Ortopedia
11,Apartamento,Ocupado,UTI
12,Apartamento,Disponível,Clínica Médica
13,Enfermaria,Disponível,Cirurgia
14,UTI,Ocupado,Ortopedia
15,Enfermaria,Disponível,Cirurgia
16,Apartamento,Disponível,Clínica Médica
17,Enfermaria,Disponível,Ortopedia
18,UTI,Disponível,Pediatria
19,Apartamento,Disponível,Maternidade
20,Apartamento,Disponível,Clínica Médica
21,UTI,Ocupado,Pediatria
22,UTI,Disponível,Pediatria
23,Apartamento,Disponível,Ortopedia
24,UTI,Ocupado,Cirurgia
25,Enfermaria,Ocupado,Cirurgia
26,Enfermaria,Disponível,UTI
27,Enfermaria,Disponível,Clínica Médica
28,Enfermaria,Disponível,Clínica Médica
29,UTI,Disponível,Ortopedia
30,Enfermaria,Ocupado,Ortopedia
31,Enfermaria,Ocupado,UTI
32,Apartamento,Ocupado,UTI
33,UTI,Ocupado,Pediatria
34,UTI,Ocupado,Maternidade
35,UTI,Ocupado,UTI
36,Apartamento,Disponível,Cirurgia
37,Apartamento,Disponível,Pediatria
38,UTI,Disponível,Maternidade
39,Enfermaria,Ocupado,UTI
40,Apartamento,Disponível,Maternidade
41,Apartamento,Ocupado,Cirurgia
42,Apartamento,Ocupado,Cirurgia
43,UTI,Disponível,Pediatria
44,Enfermaria,Disponível,Pediatria
45,Apartamento,Disponível,Cirurgia
46,Apartamento,Disponível,Ortopedia
47,UTI,Ocupado,Pediatria
48,Enfermaria,Disponível,Clínica Médica
49,Apartamento,Ocupado,Ortopedia
50,UTI,Ocupado,Clínica Médica
51,UTI,Disponível,Maternidade
52,Apartamento,Ocupado,Maternidade
53,UTI,Disponível,Maternidade
54,UTI,Ocupado,UTI
55,Apartamento,Ocupado,Pediatria
56,UTI,Ocupado,Pediatria
57,Enfermaria,Disponível,Cirurgia
58,Enfermaria,Disponível,Pediatria
59,Apartamento,Disponível,Maternidade
60,Enfermaria,Disponível,Clínica Médica
61,Enfermaria,Ocupado,Ortopedia
62,Apartamento,Disponível,UTI
63,UTI,Ocupado,Ortopedia
64,Enfermaria,Disponível,Clínica Médica
65,UTI,Ocupado,UTI
66,Apartamento,Ocupado,Cirurgia
67,Enfermaria,Ocupado,Pediatria
68,Apartamento,Ocupado,Pediatria
69,UTI,Ocupado,Cirurgia
70,Apartamento,Ocupado,Clínica Médica
71,Enfermaria,Disponível,Cirurgia
72,Apartamento,Ocupado,Maternidade
73,Apartamento,Disponível,Clínica Médica
74,Apartamento,Disponível,UTI
75,UTI,Disponível,Ortopedia
76,UTI,Ocupado,Ortopedia
77,UTI,Ocupado,Cirurgia
78,UTI,Ocupado,Pediatria
79,Enfermaria,Ocupado,Cirurgia
80,UTI,Ocupado,Pediatria
81,UTI,Disponível,Cirurgia
82,Enfermaria,Ocupado,Cirurgia
83,UTI,Disponível,Ortopedia
84,Apartamento,Ocupado,Maternidade
85,UTI,Ocupado,Pediatria
86,Enfermaria,Disponível,Maternidade
87,Apartamento,Disponível,Maternidade
88,Enfermaria,Ocupado,Maternidade
89,Apartamento,Ocupado,Ortopedia
90,Apartamento,Disponível,Maternidade
91,Apartamento,Ocupado,Pediatria
92,Enfermaria,Ocupado,UTI
93,Apartamento,Ocupado,Maternidade
94,Apartamento,Ocupado,Maternidade
95,Apartamento,Ocupado,UTI
96,Apartamento,Ocupado,Maternidade
97,Apartamento,Disponível,UTI
98,UTI,Ocupado,Clínica Médica
99,Enfermaria,Disponível,Ortopedia
100,Apartamento,Ocupado,Ortopedia
101,Apartamento,Disponível,UTI
102,Apartamento,Ocupado,Cirurgia
103,Apartamento,Disponível,Ortopedia
104,Apartamento,Disponível,Pediatria
105,UTI,Ocupado,Ortopedia
106,UTI,Disponível,Ortopedia
107,Apartamento,Disponível,Pediatria
108,Apartamento,Ocupado,UTI
109,Apartamento,Ocupado,UTI
110,Enfermaria,Disponível,Pediatria
111,Enfermaria,Ocupado,Ortopedia
112,UTI,Disponível,Maternidade
113,UTI,Ocupado,Ortopedia
114,Enfermaria,Disponível,UTI
115,Apartamento,Disponível,Maternidade
