id_tempo,data_ref,mes,ano
202301,2023-01-01,1,2023
202302,2023-02-01,2,2023
202303,2023-03-01,3,2023
202304,2023-04-01,4,2023
202305,2023-05-01,5,2023
202306,2023-06-01,6,2023
202307,2023-07-01,7,2023
202308,2023-08-01,8,2023
202309,2023-09-01,9,2023
202310,2023-10-01,10,2023
202311,2023-11-01,11,2023
202312,2023-12-01,12,2023
202401,2024-01-01,1,2024
202402,2024-02-01,2,2024
202403,2024-03-01,3,2024
202404,2024-04-01,4,2024
202405,2024-05-01,5,2024
202406,2024-06-01,6,2024
202407,2024-07-01,7,2024
202408,2024-08-01,8,2024
202409,2024-09-01,9,2024
202410,2024-10-01,10,2024
202411,2024-11-01,11,2024
202412,2024-12-01,12,2024
