id_fin,id_convenio,id_tempo,receita_liquida,custo_total,receita_bruta
1,1,202301,548872.94,468819.84,597190.94
2,2,202301,941850.12,766031.06,1039155.00
3,3,202301,998749.75,761962.56,1143483.88
4,4,202301,780047.25,623697.50,882647.88
5,5,202301,400359.16,314165.53,440136.25
6,6,202301,631700.69,452538.03,694209.19
7,7,202301,798461.12,656419.06,874162.88
8,8,202301,854312.75,604620.75,904876.88
9,1,202302,534422.62,399972.06,573474.75
10,2,202302,233788.27,170112.91,266660.75
11,3,202302,287376.81,216154.06,329860.12
12,4,202302,644136.94,560749.50,694868.75
13,5,202302,748180.44,618251.75,851586.00
14,6,202302,338914.84,273455.19,387880.50
15,7,202302,410434.00,348259.62,457290.47
16,8,202302,656420.12,541848.75,726065.19
17,1,202303,600590.38,531121.62,678308.12
18,2,202303,934533.44,736360.56,1016418.12
19,3,202303,305843.88,229963.98,343300.38
20,4,202303,823942.81,633315.25,865583.38
21,5,202303,980500.25,873305.12,1063744.00
22,6,202303,217554.56,187147.19,243716.86
23,7,202303,936161.31,690936.81,1062245.50
24,8,202303,512787.78,407427.91,564719.56
25,1,202304,439889.53,364942.69,463044.25
26,2,202304,936337.12,696575.88,1039844.06
27,3,202304,654837.31,581963.19,737589.56
28,4,202304,923732.56,817477.88,1001561.75
29,5,202304,955867.06,836412.06,1061484.50
30,6,202304,464429.22,397271.75,515826.31
31,7,202304,687628.31,546039.25,767337.19
32,8,202304,442446.97,361198.84,479925.12
33,1,202305,206847.42,154813.70,232582.44
34,2,202305,824519.75,674051.12,895998.81
35,3,202305,411803.09,292830.88,457388.06
36,4,202305,438440.97,312455.03,482518.16
37,5,202305,389148.25,325800.12,424809.59
38,6,202305,656140.06,524719.38,708508.19
39,7,202305,737924.69,566666.12,788659.81
40,8,202305,806294.56,603743.44,901459.81
41,1,202306,704700.31,508106.66,780397.81
42,2,202306,418617.66,326799.91,459413.28
43,3,202306,225326.16,184490.91,245486.16
44,4,202306,593877.88,509412.69,678793.81
45,5,202306,791716.81,567944.69,840369.31
46,6,202306,415561.31,310136.34,441538.56
47,7,202306,735941.38,576113.00,818392.38
48,8,202306,745675.44,614411.81,847423.31
49,1,202307,803666.31,718307.56,920170.06
50,2,202307,694484.00,606644.12,732973.31
51,3,202307,442671.84,347694.34,486967.44
52,4,202307,904947.50,759150.12,997702.44
53,5,202307,255173.80,203237.31,286305.94
54,6,202307,994871.50,722370.81,1100064.75
55,7,202307,332199.91,238837.19,353892.22
56,8,202307,249920.66,214827.64,265078.81
57,1,202308,620318.00,436178.12,655953.81
58,2,202308,322950.81,272403.97,364756.62
59,3,202308,837166.69,681936.12,944978.06
60,4,202308,961097.62,747080.88,1077815.12
61,5,202308,881269.94,734883.19,978594.44
62,6,202308,512614.59,371603.44,553466.44
63,7,202308,271884.66,194633.69,287721.75
64,8,202308,559178.44,456867.28,616077.62
65,1,202309,422378.69,335519.44,472955.44
66,2,202309,561008.69,439625.62,644292.25
67,3,202309,232662.42,182659.02,252116.97
68,4,202309,259732.48,232029.67,274869.72
69,5,202309,636388.88,519513.62,686251.75
70,6,202309,283819.72,250045.83,302167.84
71,7,202309,322896.75,248669.22,343884.44
72,8,202309,794401.06,685353.25,902556.56
73,1,202310,315163.72,225922.19,346730.44
74,2,202310,984243.62,792927.62,1130637.12
75,3,202310,943976.38,814944.69,1023840.38
76,4,202310,956394.69,719896.94,1038641.31
77,5,202310,936891.81,835241.25,1035684.19
78,6,202310,795993.94,660594.00,914271.81
79,7,202310,971032.88,773124.31,1098160.38
80,8,202310,834627.44,632577.81,931487.50
81,1,202311,405976.22,360925.34,438848.88
82,2,202311,233064.98,167548.41,250661.84
83,3,202311,350879.16,315497.78,383096.50
84,4,202311,446268.94,365650.06,470867.59
85,5,202311,909674.75,703789.94,1004747.44
86,6,202311,221630.92,155306.52,248260.78
87,7,202311,614974.94,476380.91,669185.12
88,8,202311,542197.81,452460.03,623326.62
89,1,202312,485948.47,425026.44,527643.50
90,2,202312,463499.09,325491.72,508401.62
91,3,202312,639163.88,497441.88,718863.38
92,4,202312,233672.16,193057.03,263229.19
93,5,202312,642345.06,567065.00,694268.81
94,6,202312,667644.31,586682.69,708424.12
